gene_symbol	passing_guides	total_guides
AGBL5	2	3
AGER	3	3
AGFG1	2	3
AGFG2	2	3
AGGF1	3	3
AGK	3	3
AGL	3	3
AGMAT	3	3
AGMO	2	3
AGO1	2	3
AGO2	3	3
AGO3	3	3
AGO4	2	3
AGPAT1	3	3
AGPAT2	3	3
AGPAT3	3	3
AGPAT4	3	3
AGPAT5	3	3
AGPS	3	3
AGR2	2	3
AGR3	3	3
AGRN	2	3
AGRP	3	3
AGT	3	3
AGTPBP1	3	3
AGTR1	3	3
AGTR2	3	3
AGTRAP	2	3
AGXT	3	3
AGXT2	3	3
AHCTF1	3	3
AHCY	3	3
AHCYL1	3	3
AHCYL2	2	3
AHDC1	2	3
AHI1	2	3
AHNAK	3	3
AHNAK2	3	3
AHR	3	3
AHRR	2	3
AHSA1	3	3
AHSA2	0	3
AHSG	2	3
AHSP	3	3
AICDA	3	3
AIDA	3	3
AIF1	3	3
AIF1L	1	3
AIFM1	3	3
AIFM2	3	3
AIFM3	3	3
AIG1	3	3
AIM2	3	3
AIMP1	3	3
AIMP2	2	3
AIP	3	3
AIPL1	3	3
AIRE	2	3
AJAP1	2	3
AJUBA	2	3
AK1	2	3
AK2	3	3
AK3	3	3
AK4	3	3
AK5	3	3
AK7	3	3
AK8	3	3
AK9	3	3
AKAIN1	2	3
AKAP1	3	3
AKAP10	2	3
AKAP11	3	3
AKAP12	3	3
AKAP13	3	3
AKAP14	3	3
AKAP17A	1	3
AKAP2	3	3
AKAP3	3	3
AKAP4	3	3
AKAP5	3	3
AKAP6	2	3
AKAP7	2	3
AKAP8	3	3
AKAP8L	2	3
AKAP9	3	3
AKIP1	3	3
AKIRIN1	3	3
AKIRIN2	3	3
AKNA	3	3
AKR1A1	3	3
AKR1B1	3	3
AKR1B10	3	3
AKR1B15	3	3
AKR1C1	3	3
AKR1C2	3	3
AKR1C3	3	3
AKR1C4	3	3
AKR1D1	3	3
AKR1E2	3	3
AKR7A2	2	3
AKR7A3	3	3
AKT1	2	3
AKT1S1	1	3
AKT2	3	3
AKT3	3	3
AKTIP	3	3
ALAD	2	3
ALAS1	3	3
ALAS2	2	3
ALB	3	3
ALCAM	3	3
ALDH16A1	3	3
ALDH18A1	3	3
ALDH1A1	3	3
ALDH1A2	3	3
ALDH1A3	3	3
ALDH1B1	1	3
ALDH1L1	3	3
ALDH1L2	3	3
ALDH2	2	3
ALDH3A1	3	3
ALDH3A2	3	3
ALDH3B1	3	3
ALDH3B2	3	3
ALDH4A1	2	3
ALDH5A1	2	3
ALDH6A1	3	3
ALDH7A1	3	3
ALDH8A1	3	3
ALDH9A1	2	3
ALDOA	3	3
ALDOB	3	3
ALDOC	3	3
ALG1	2	3
ALG10	2	3
ALG10B	3	3
ALG12	3	3
ALG13	2	3
ALG14	2	3
ALG1L	3	3
ALG1L2	3	3
ALG2	2	3
ALG3	3	3
ALG5	3	3
ALG6	3	3
ALG8	3	3
ALG9	3	3
ALK	2	3
ALKAL1	3	3
ALKAL2	3	3
ALKBH1	3	3
ALKBH2	3	3
ALKBH3	3	3
ALKBH4	3	3
ALKBH5	3	3
ALKBH6	3	3
ALKBH7	3	3
ALKBH8	2	3
ALLC	2	3
ALMS1	3	3
ALOX12	3	3
ALOX12B	3	3
ALOX15	3	3
ALOX15B	3	3
ALOX5	3	3
ALOX5AP	3	3
ALOXE3	3	3
ALPI	3	3
ALPK1	2	3
ALPK2	3	3
ALPK3	2	3
ALPL	3	3
ALPP	3	3
ALPPL2	3	3
ALS2	2	3
ALS2CL	3	3
ALS2CR12	3	3
ALX1	3	3
ALX3	3	3
ALX4	3	3
ALYREF	2	3
AMACR	3	3
AMBN	3	3
AMBP	3	3
AMBRA1	3	3
AMD1	3	3
AMDHD1	3	3
AMDHD2	1	3
AMELX	3	3
AMELY	3	3
AMER1	2	3
AMER2	3	3
AMER3	3	3
AMFR	3	3
AMH	3	3
AMHR2	3	3
AMIGO1	2	3
AMIGO2	3	3
AMIGO3	3	3
AMMECR1	3	3
AMMECR1L	3	3
AMN	3	3
AMN1	3	3
AMOT	3	3
AMOTL1	3	3
AMOTL2	3	3
AMPD1	3	3
AMPD2	3	3
AMPD3	3	3
AMPH	3	3
AMT	3	3
AMTN	3	3
AMY1A	3	3
AMY1B	3	3
AMY1C	1	1
AMY2A	3	3
AMY2B	3	3
AMZ1	3	3
AMZ2	3	3
ANAPC1	3	3
ANAPC10	3	3
ANAPC11	3	3
ANAPC13	3	3
ANAPC15	0	3
ANAPC16	2	3
ANAPC2	3	3
ANAPC4	2	3
ANAPC5	3	3
ANAPC7	3	3
ANG	3	3
ANGEL1	2	3
ANGEL2	3	3
ANGPT1	3	3
ANGPT2	3	3
ANGPT4	3	3
ANGPTL1	3	3
ANGPTL2	3	3
ANGPTL3	3	3
ANGPTL4	3	3
ANGPTL5	3	3
ANGPTL6	3	3
ANGPTL7	3	3
ANHX	3	3
ANK1	2	3
ANK2	3	3
ANK3	2	3
ANKAR	2	3
ANKDD1A	3	3
ANKDD1B	3	3
ANKEF1	3	3
ANKFN1	3	3
ANKFY1	3	3
ANKH	3	3
ANKHD1	3	3
ANKIB1	3	3
ANKK1	2	3
ANKLE1	2	3
ANKLE2	3	3
ANKMY1	2	3
ANKMY2	3	3
ANKRA2	3	3
ANKRD1	3	3
ANKRD10	2	3
ANKRD11	3	3
ANKRD12	3	3
ANKRD13A	1	3
ANKRD13B	3	3
ANKRD13C	3	3
ANKRD13D	2	3
ANKRD16	3	3
ANKRD17	3	3
ANKRD18A	3	3
ANKRD18B	2	3
ANKRD2	2	3
ANKRD20A1	3	3
ANKRD20A2	2	2
ANKRD20A3	2	2
ANKRD20A4	1	1
ANKRD22	3	3
ANKRD23	3	3
ANKRD24	3	3
ANKRD26	2	3
ANKRD27	2	3
ANKRD28	3	3
ANKRD29	1	3
ANKRD30A	3	3
ANKRD30B	3	3
ANKRD31	3	3
ANKRD33	3	3
ANKRD33B	2	3
ANKRD34A	2	3
ANKRD34B	2	3
ANKRD34C	3	3
ANKRD35	3	3
ANKRD36	3	3
ANKRD36B	3	3
ANKRD36C	3	3
ANKRD37	3	3
ANKRD39	2	3
ANKRD40	3	3
ANKRD42	3	3
ANKRD44	3	3
ANKRD45	3	3
ANKRD46	3	3
ANKRD49	2	3
ANKRD50	1	3
ANKRD52	3	3
ANKRD53	3	3
ANKRD54	2	3
ANKRD55	3	3
ANKRD6	1	3
ANKRD60	2	3
ANKRD61	3	3
ANKRD62	3	3
ANKRD63	2	3
ANKRD65	3	3
ANKRD66	3	3
ANKRD7	3	3
ANKRD9	2	3
ANKS1A	3	3
ANKS1B	2	3
ANKS3	2	3
ANKS4B	3	3
ANKS6	3	3
ANKUB1	3	3
ANKZF1	3	3
ANLN	3	3
ANO1	3	3
ANO10	3	3
ANO2	3	3
ANO3	3	3
ANO4	2	3
ANO5	2	3
ANO6	3	3
ANO7	3	3
ANO8	2	3
ANO9	3	3
ANOS1	3	3
ANP32A	3	3
ANP32B	3	3
ANP32C	3	3
ANP32D	3	3
ANP32E	3	3
ANPEP	2	3
ANXA1	3	3
ANXA10	3	3
ANXA11	0	3
ANXA13	3	3
ANXA2	3	3
ANXA2R	3	3
ANXA3	3	3
ANXA4	3	3
ANXA5	3	3
ANXA6	3	3
ANXA7	3	3
ANXA8	2	3
ANXA8L1	3	3
ANXA9	3	3
AOAH	3	3
AOC1	3	3
AOC2	3	3
AOC3	3	3
AOX1	3	3
AP1AR	3	3
AP1B1	3	3
AP1G1	3	3
AP1G2	3	3
AP1M1	3	3
AP1M2	3	3
AP1S1	3	3
AP1S2	3	3
AP1S3	3	3
AP2A1	3	3
AP2A2	3	3
AP2B1	3	3
AP2M1	3	3
AP2S1	2	3
AP3B1	3	3
AP3B2	3	3
AP3D1	3	3
AP3M1	3	3
AP3M2	3	3
AP3S1	3	3
AP3S2	3	3
AP4B1	3	3
AP4E1	3	3
AP4M1	3	3
AP4S1	3	3
AP5B1	3	3
AP5M1	3	3
AP5S1	3	3
AP5Z1	3	3
APAF1	3	3
APBA1	3	3
APBA2	1	3
APBA3	2	3
APBB1	2	3
APBB1IP	3	3
APBB2	2	3
APBB3	3	3
APC	3	3
APC2	3	3
APCDD1	2	3
APCDD1L	2	3
APCS	3	3
APEH	2	3
APELA	3	3
APEX1	3	3
APEX2	3	3
APH1A	3	3
APH1B	3	3
API5	3	3
APIP	3	3
APLF	1	3
APLN	3	3
APLNR	3	3
APLP1	3	3
APLP2	3	3
APMAP	3	3
APOA1	3	3
APOA2	3	3
APOA4	3	3
APOA5	3	3
APOB	3	3
APOBEC1	3	3
APOBEC2	3	3
APOBEC3A	3	3
APOBEC3B	3	3
APOBEC3C	3	3
APOBEC3D	3	3
APOBEC3F	3	3
APOBEC3G	3	3
APOBEC3H	3	3
APOBEC4	3	3
APOBR	3	3
APOC1	3	3
APOC2	3	3
APOC3	2	3
APOC4	3	3
APOD	3	3
APOE	1	3
APOF	3	3
APOH	3	3
APOL1	3	3
APOL2	3	3
APOL3	3	3
APOL4	3	3
APOL5	3	3
APOL6	3	3
APOLD1	3	3
APOO	3	3
APOOL	3	3
APOPT1	3	3
APP	1	3
APPBP2	3	3
APPL1	3	3
APPL2	2	3
APRT	3	3
APTX	2	3
AQP1	3	3
AQP10	3	3
AQP11	3	3
AQP12A	3	3
AQP12B	2	3
AQP2	3	3
AQP3	2	3
AQP4	3	3
AQP5	3	3
AQP6	3	3
AQP7	3	3
AQP8	3	3
AQP9	3	3
AQR	3	3
AR	3	3
ARAF	3	3
ARAP1	3	3
ARAP2	3	3
ARAP3	3	3
ARC	1	3
ARCN1	2	3
AREG	3	3
AREL1	3	3
ARF1	2	3
ARF3	3	3
ARF4	3	3
ARF5	2	3
ARF6	2	3
ARFGAP1	2	3
ARFGAP2	2	3
ARFGAP3	3	3
ARFGEF1	3	3
ARFGEF2	2	3
ARFGEF3	2	3
ARFIP1	2	3
ARFIP2	2	3
ARFRP1	3	3
ARG1	3	3
ARG2	3	3
ARGFX	3	3
ARGLU1	2	3
ARHGAP1	3	3
ARHGAP10	2	3
ARHGAP11A	3	3
ARHGAP12	2	3
ARHGAP15	3	3
ARHGAP17	2	3
ARHGAP18	3	3
ARHGAP19	3	3
ARHGAP20	3	3
ARHGAP21	2	3
ARHGAP22	3	3
ARHGAP23	2	3
ARHGAP24	3	3
ARHGAP25	3	3
ARHGAP26	3	3
ARHGAP27	2	3
ARHGAP28	2	3
ARHGAP29	3	3
ARHGAP30	3	3
ARHGAP31	3	3
ARHGAP32	3	3
ARHGAP33	2	3
ARHGAP35	3	3
ARHGAP36	2	3
ARHGAP39	3	3
ARHGAP4	2	3
ARHGAP40	3	3
ARHGAP42	3	3
ARHGAP44	3	3
ARHGAP45	2	3
ARHGAP5	3	3
ARHGAP6	3	3
ARHGAP8	3	3
ARHGAP9	3	3
ARHGDIA	3	3
ARHGDIB	3	3
ARHGDIG	2	3
ARHGEF1	3	3
ARHGEF10	3	3
ARHGEF10L	3	3
ARHGEF11	3	3
ARHGEF12	3	3
ARHGEF15	2	3
ARHGEF16	3	3
ARHGEF17	2	3
ARHGEF18	3	3
ARHGEF19	3	3
ARHGEF2	3	3
ARHGEF25	2	3
ARHGEF26	3	3
ARHGEF28	2	3
ARHGEF3	2	3
ARHGEF33	3	3
ARHGEF35	2	3
ARHGEF37	3	3
ARHGEF38	3	3
ARHGEF39	2	3
ARHGEF4	3	3
ARHGEF40	2	3
ARHGEF5	2	3
ARHGEF6	3	3
ARHGEF7	3	3
ARHGEF9	3	3
ARID1A	3	3
ARID1B	1	3
ARID2	3	3
ARID3A	3	3
ARID3B	3	3
ARID3C	3	3
ARID4A	3	3
ARID4B	3	3
ARID5A	2	3
ARID5B	3	3
ARIH1	3	3
ARIH2	3	3
ARIH2OS	3	3
ARL1	3	3
ARL10	3	3
ARL11	3	3
ARL13A	3	3
ARL13B	3	3
ARL14	3	3
ARL14EP	3	3
ARL14EPL	3	3
ARL15	3	3
ARL16	3	3
ARL17A	3	3
ARL17B	1	2
ARL2	2	3
ARL2BP	1	3
ARL3	3	3
ARL4A	3	3
ARL4C	2	3
ARL4D	2	3
ARL5A	2	3
ARL5B	3	3
ARL5C	2	3
ARL6	3	3
ARL6IP1	3	3
ARL6IP4	0	3
ARL6IP5	3	3
ARL6IP6	2	3
ARL8A	0	3
ARL8B	2	3
ARL9	3	3
ARMC1	2	3
ARMC10	3	3
ARMC12	3	3
ARMC2	3	3
ARMC3	3	3
ARMC4	3	3
ARMC5	3	3
ARMC6	3	3
ARMC7	3	3
ARMC8	3	3
ARMC9	2	3
ARMCX1	3	3
ARMCX2	3	3
ARMCX3	2	3
ARMCX4	3	3
ARMCX5	3	3
ARMCX5-GPRASP2	3	3
ARMCX6	3	3
ARMS2	3	3
ARMT1	3	3
ARPC1A	2	3
ARPC1B	1	3
ARPC2	3	3
ARPC3	2	3
ARPC4	3	3
ARPC5	3	3
ARPC5L	2	3
ARPIN	2	3
ARPP19	3	3
ARPP21	3	3
ARR3	3	3
ARRB1	3	3
ARRB2	3	3
ARRDC1	1	3
ARRDC2	2	3
ARRDC3	3	3
ARRDC4	2	3
ARRDC5	3	3
ARSA	2	3
ARSB	3	3
ARSD	2	3
ARSE	3	3
ARSF	3	3
ARSG	2	3
ARSH	3	3
ARSI	3	3
ARSJ	2	3
ARSK	3	3
ART1	3	3
ART3	3	3
ART4	3	3
ART5	3	3
ARTN	3	3
ARV1	3	3
ARVCF	3	3
ARX	3	3
AS3MT	3	3
ASAH1	3	3
ASAH2	3	3
ASAH2B	3	3
ASAP1	2	3
ASAP2	2	3
ASAP3	3	3
ASB1	3	3
ASB10	3	3
ASB11	3	3
ASB12	3	3
ASB13	2	3
ASB14	3	3
ASB15	3	3
ASB16	3	3
ASB17	3	3
ASB18	3	3
ASB2	3	3
ASB3	2	3
ASB4	3	3
ASB5	3	3
ASB6	2	3
ASB7	3	3
ASB8	3	3
ASB9	3	3
ASCC1	3	3
ASCC2	3	3
ASCC3	3	3
ASCL1	2	3
ASCL2	1	3
ASCL3	3	3
ASCL4	3	3
ASCL5	0	3
ASF1A	3	3
ASF1B	1	3
ASGR1	3	3
ASGR2	3	3
ASH1L	2	3
ASH2L	2	3
ASIC1	1	3
ASIC2	2	3
ASIC3	1	3
ASIC4	3	3
ASIC5	3	3
ASIP	2	3
ASL	1	3
ASMT	3	3
ASMTL	3	3
ASNA1	3	3
ASNS	3	3
ASNSD1	0	3
ASPA	3	3
ASPDH	3	3
ASPG	3	3
ASPH	3	3
ASPHD1	3	3
ASPHD2	3	3
ASPM	3	3
ASPN	3	3
ASPRV1	2	3
ASPSCR1	1	3
ASRGL1	3	3
ASS1	3	3
ASTE1	3	3
ASTL	3	3
ASTN1	3	3
ASTN2	3	3
ASXL1	3	3
ASXL2	3	3
ASXL3	1	3
ASZ1	3	3
ATAD1	3	3
ATAD2	3	3
ATAD2B	2	3
ATAD3A	2	3
ATAD3B	2	3
ATAD3C	3	3
ATAD5	3	3
ATAT1	3	3
ATCAY	2	3
ATE1	3	3
ATF1	3	3
ATF2	3	3
ATF3	2	3
ATF4	3	3
ATF5	3	3
ATF6	3	3
ATF6B	3	3
ATF7	3	3
ATF7IP	3	3
ATF7IP2	3	3
ATG10	2	3
ATG101	3	3
ATG12	3	3
